Lastname,Property ID,Image,Township,Property Use,Neighborhood,Site Address,Owner Name and Address,Mailing Name and Address
greenview,26-028-029-000-0000,['/video/19990507/H7140504.JPG'],ELIZABETHVILLE BORO,L01 - BLDG LOT-UNDER 1 ACRE,26005 - SOUTHEAST E-VILLE,ARCH ST,"GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214","GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214"
greenview,30-025-022-000-0000,"['/video/39990405/H5133052.JPG', '/sketches/2018/316763.JPG']",HIGHSPIRE BORO,R03 - 2 STORY RESIDENCE,30004 - EAST OF LUMBER ST.,697 ESHELMAN ST,"GREENVIEW LLC
                    PO BOX 662
BLUE RIDGE SUMMIT, PA 17214","GREENVIEW LLC
                    PO BOX 662
BLUE RIDGE SUMMIT, PA 17214"
greenview,30-025-035-000-0000,,HIGHSPIRE BORO,L01 - BLDG LOT-UNDER 1 ACRE,30004 - EAST OF LUMBER ST.,ESHELMAN ST,"GREENVIEW LLC
                    PO BOX 662
BLUE RIDGE SUMMIT, PA 17214","GREENVIEW LLC
                    PO BOX 662
BLUE RIDGE SUMMIT, PA 17214"
greenview,35-029-031-000-0000,"['', '']",LOWER PAXTON TWP,R09 - MOBILE HOME,35047 - I-81 / JONESTOWN RD. BLOCK,5150 LAKE DR,"GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214","GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214"
greenview,36-022-098-000-0000,"['/video/P0000026/P0012608.JPG', '/sketches/2018/283232.JPG']",LOWER SWATARA TWP,R09 - MOBILE HOME,36001 - LOWER SWATARA TWP. (GENERAL),TIOGA AVE,"GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214","GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214"
greenview,45-008-041-000-0000,"['/video/29990524/DO103327.JPG', '/sketches/2018/241411.JPG']",MILLERSBURG BORO,R03 - 2 STORY RESIDENCE,45002 - HIGHLAND AREA,725 STATE ST,"GREENVIEW LLC
                    P O BOX 60461
HARRISBURG, PA 17105","GREENVIEW LLC
                    P O BOX 60461
HARRISBURG, PA 17105"
greenview,45-008-042-000-0000,"['/video/29990524/DO103333.JPG', '/sketches/2018/241413.JPG']",MILLERSBURG BORO,R03 - 2 STORY RESIDENCE,45002 - HIGHLAND AREA,727 STATE ST,"GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214","GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214"
greenview,62-019-026-000-0000,"['/video/49990608/M8122412.JPG', '/sketches/2018/296045.JPG']",SUSQUEHANNA TWP,R03 - 2 STORY RESIDENCE,62007 - GENERAL (NORTH FO RT 81),4015 REICHERT RD,"GREENVIEW LLC
                    P O BOX 60461
HARRISBURG, PA 17106","GREENVIEW LLC
                    P O BOX 60461
HARRISBURG, PA 17106"
greenview,66-009-040-000-0000,['/video/10000408/H8091006.JPG'],WASHINGTON TWP,L01 - BLDG LOT-UNDER 1 ACRE,66001 - WASHINGTON TWP,SOUTH OF ROUTE 209,"GREENVIEW LLC, 
                    PO BOX 509
BLUE RIDGE SUMMIT, PA 17214","GREENVIEW LLC, 
                    PO BOX 509
BLUE RIDGE SUMMIT, PA 17214"
greenview,69-006-133-000-0000,"['/video/39990520/MK133249.JPG', '/sketches/2018/234924.JPG']",WICONISCO TWP,R03 - 2 STORY RESIDENCE,69001 - WICONISCO,321 POTTSVILLE ST,"GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214","GREENVIEW LLC
                    P O BOX 662
BLUE RIDGE SUMMIT, PA 17214"
